school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Jurong West,2010,32,225,73,114,32,114,1
Juying,2010,0,25,68,136,0,25,0
Keming,2010,18,103,47,77,18,77,1
Kheng Cheng,2010,2,108,68,133,2,108,0
Kong Hwa,2010,76,80,50,49,50,49,1
Kranji,2010,1,34,92,182,1,34,0
Kuo Chuan Presbyterian,2010,16,148,66,116,16,116,1
Lakeside,2010,0,98,73,146,0,98,0
Lianhua,2010,0,65,68,135,0,65,0
Maha Bodhi,2010,56,67,55,55,56,55,1
Maris Stella High,2010,98,104,90,90,91,90,1
Marsiling,2010,0,80,101,201,0,80,0
Marymount Convent,2010,18,112,85,151,18,112,0
Mayflower,2010,2,93,67,131,2,93,0
Mee Toh,2010,74,174,82,90,74,90,1
Meridian,2010,1,82,70,138,1,82,0
Methodist Girls’,2010,59,42,38,37,38,37,1
Montfort Junior,2010,16,57,95,174,16,57,0
Nan Chiau,2010,79,204,65,65,65,65,1
Nan Hua,2010,40,84,36,35,36,35,1
Nanyang,2010,51,68,36,36,36,36,1
Naval Base,2010,0,37,81,161,0,37,0
New Town,2010,1,77,83,164,1,77,0
Ngee Ann,2010,16,136,69,123,16,123,1
North Spring,2010,1,44,78,155,1,44,0
North View,2010,0,66,57,113,0,65,0
North Vista,2010,6,177,95,184,6,177,0
Northland,2010,35,137,57,79,35,79,1
Opera Estate,2010,1,31,70,140,1,31,0
Park View,2010,0,53,60,119,0,53,0
Pasir Ris,2010,22,78,41,60,22,60,1
Paya Lebar Methodist Girls’,2010,95,109,83,82,83,82,1
Pei Chun Public,2010,59,98,47,47,48,47,1
Pei Hwa Presbyterian,2010,68,67,44,44,44,44,1
Pei Tong,2010,2,61,88,175,2,61,0
Peiying,2010,0,67,56,111,0,67,0
Pioneer,2010,0,101,74,147,0,101,0
Poi Ching,2010,31,120,68,106,31,106,1
Princess Elizabeth,2010,3,138,19,36,3,36,1
Punggol,2010,0,87,68,137,0,87,0
Qifa,2010,2,119,51,100,2,100,1
Qihua,2010,0,90,78,155,0,90,0
Queenstown,2010,1,69,61,121,1,69,0
Radin Mas,2010,30,126,59,88,30,88,1
Raffles Girls’,2010,62,76,60,61,62,61,1
Red Swastika,2010,28,99,34,41,28,41,1
River Valley,2010,39,51,41,42,39,42,1
Rivervale,2010,40,144,54,68,40,68,1
Rosyth,2010,57,163,56,56,57,56,1
Rulang,2010,52,129,46,45,46,45,1
Sembawang,2010,0,67,81,161,0,67,0
Seng Kang,2010,1,64,74,147,1,64,0
Shuqun,2010,9,194,78,147,9,147,1
Si Ling,2010,2,43,93,183,2,43,0
Singapore Chinese Girls’,2010,29,54,39,48,29,48,1
South View,2010,42,121,33,33,34,33,1
St. Andrew’s Junior,2010,79,79,72,71,72,71,1
St. Anthony’s,2010,50,129,78,106,50,106,1
St. Anthony’s Canossian,2010,28,92,73,118,28,92,0
St. Gabriel’s,2010,23,84,51,79,23,79,1
St. Hilda’s,2010,68,127,43,43,43,43,1
St. Joseph’s Institution Junior,2010,80,82,61,62,62,62,1
St. Margaret’s,2010,32,130,70,107,32,107,1
St. Stephen’s,2010,56,100,72,91,56,91,1
Stamford,2010,0,54,65,130,0,54,0
Tampines,2010,0,89,64,127,0,89,0
Tampines North,2010,2,58,55,108,2,58,0
Tanjong Katong,2010,12,111,68,125,11,112,0
Tao Nan,2010,114,99,62,62,63,62,1
Teck Ghee,2010,0,107,70,140,0,107,0
Teck Whye,2010,1,36,92,182,1,36,0
Telok Kurau,2010,1,105,48,95,1,95,1
Temasek,2010,50,74,58,68,50,68,1
Townsville,2010,0,98,75,151,0,98,0
Unity,2010,0,126,58,116,0,116,1
Wellington,2010,2,75,75,147,2,75,0
