school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Queenstown,2018,0,172,72,143,0,143,1
Radin Mas,2018,18,63,21,26,15,26,1
Raffles Girls’,2018,26,164,70,114,26,114,1
Red Swastika,2018,15,74,21,29,12,29,1
River Valley,2018,20,83,42,68,16,68,1
Riverside,2018,0,109,33,65,0,65,1
Rivervale,2018,23,143,48,72,23,72,1
Rosyth,2018,25,100,21,21,20,21,1
Rulang,2018,29,91,28,29,27,29,1
Sembawang,2018,2,90,67,132,1,90,0
Seng Kang,2018,0,54,95,189,0,54,0
Sengkang Green,2018,24,157,39,54,23,54,1
Shuqun,2018,14,108,52,91,13,91,1
Si Ling,2018,0,45,71,144,0,45,0
Singapore Chinese Girls’,2018,24,53,29,34,24,34,1
South View,2018,21,115,20,20,20,20,1
Springdale,2018,0,135,58,118,0,118,1
St. Andrew’s Junior,2018,64,78,51,53,48,53,1
St. Anthony’s,2018,31,86,47,65,29,65,1
St. Anthony’s Canossian,2018,18,79,91,165,16,79,0
St. Gabriel’s,2018,17,96,50,83,17,83,1
St. Hilda’s,2018,40,102,20,21,19,21,1
St. Joseph’s Institution Junior,2018,81,84,52,51,52,51,1
St. Margaret’s,2018,34,99,61,90,32,90,1
St. Stephen’s,2018,35,77,65,96,33,77,0
Stamford,2018,0,23,76,152,0,23,0
Tampines,2018,3,115,55,107,2,107,1
Tampines North,2018,0,63,74,147,0,62,0
Tanjong Katong,2018,4,91,74,148,0,91,0
Tao Nan,2018,55,55,42,44,40,44,1
Teck Ghee,2018,16,114,50,85,15,85,1
Teck Whye,2018,0,33,65,129,0,32,0
Telok Kurau,2018,0,78,83,165,0,78,0
Temasek,2018,28,81,31,35,27,35,1
Townsville,2018,0,39,79,158,0,39,0
Unity,2018,0,84,54,107,0,84,0
Waterway,2018,5,196,124,243,4,196,0
Wellington,2018,1,99,82,163,0,99,0
West Grove,2018,14,92,46,79,13,79,1
West Spring,2018,14,116,50,89,10,89,1
West View,2018,0,42,86,171,0,42,0
Westwood,2018,15,108,38,60,15,60,1
White Sands,2018,25,59,36,47,25,47,1
Woodgrove,2018,17,91,49,80,17,80,1
Woodlands,2018,8,84,36,67,4,67,1
Woodlands Ring,2018,0,64,72,143,0,64,0
Xinghua,2018,1,45,92,185,0,45,0
Xingnan,2018,9,78,41,73,8,73,1
Xinmin,2018,21,82,39,57,20,57,1
Xishan,2018,0,46,82,164,0,46,0
Yangzheng,2018,24,83,28,33,22,33,1
Yew Tee,2018,17,62,73,129,17,62,0
Yio Chu Kang,2018,0,53,84,168,0,53,0
Yishun,2018,0,69,63,125,0,69,0
Yu Neng,2018,11,46,20,32,8,32,1
Yuhua,2018,0,40,78,155,0,40,0
Yumin,2018,1,55,39,77,1,54,0
Zhangde,2018,2,109,50,100,0,100,1
Zhenghua,2018,2,62,62,126,0,61,0
Zhonghua,2018,1,27,72,143,1,27,0
Admiralty,2019,44,86,53,61,44,61,1
Ahmad Ibrahim,2019,0,32,92,183,0,32,0
Ai Tong,2019,32,55,31,30,31,30,1
Alexandra,2019,6,127,54,103,6,103,1
Anchor Green,2019,1,66,75,151,1,66,0
Anderson,2019,26,88,47,69,26,69,1
Ang Mo Kio,2019,0,45,45,89,0,45,0
Anglo-Chinese (Junior),2019,65,60,46,46,46,46,1
Anglo-Chinese (Primary),2019,37,42,28,27,28,27,1
Angsana,2019,0,9,43,85,0,9,0
Beacon,2019,0,58,72,143,0,58,0
Bedok Green,2019,0,52,74,149,0,52,0
Bendemeer,2019,0,63,56,113,0,63,0
Blangah Rise,2019,0,19,36,71,0,19,0
Boon Lay Garden,2019,0,33,90,181,0,33,0
Bukit Panjang,2019,20,87,44,70,20,70,1
Bukit Timah,2019,0,85,66,132,0,85,0
Bukit View,2019,0,24,61,122,0,24,0
CHIJ (Katong),2019,25,40,67,112,25,40,0
CHIJ (Kellock),2019,35,103,70,104,35,103,0
CHIJ (Toa Payoh),2019,68,63,42,43,42,43,1
CHIJ Our Lady Queen of Peace,2019,19,76,66,113,19,76,0
CHIJ Our Lady of Good Counsel,2019,17,76,50,83,17,76,0
CHIJ Our Lady of the Nativity,2019,40,119,76,114,40,114,1
CHIJ St. Nicholas Girls’,2019,40,44,20,22,20,22,1
Canberra,2019,62,89,52,54,52,54,1
Canossa Catholic,2019,15,39,47,79,15,39,0
Cantonment,2019,1,80,58,115,1,80,0
Casuarina,2019,1,51,49,96,1,51,0
Catholic High,2019,37,46,20,21,20,21,1
Cedar,2019,0,31,83,166,0,31,0
Changkat,2019,0,50,44,91,0,50,0
Chongfu,2019,55,144,47,51,47,51,1
Chongzheng,2019,18,79,42,69,18,69,1
Chua Chu Kang,2019,14,131,68,124,14,124,1
Clementi,2019,2,104,75,151,2,104,0
Compassvale,2019,15,153,72,130,15,130,1
Concord,2019,8,129,73,138,8,129,0
Corporation,2019,0,58,64,127,0,58,0
Damai,2019,0,37,56,112,0,37,0
Dazhong,2019,0,36,50,101,0,36,0
De La Salle,2019,23,118,66,109,23,109,1
East Spring,2019,2,53,44,85,2,53,0
Edgefield,2019,0,69,68,136,0,69,0
Elias Park,2019,1,116,53,105,1,105,1
Endeavour,2019,1,91,66,133,1,91,0
Eunos,2019,0,13,26,52,0,13,0
Evergreen,2019,5,81,43,81,5,81,0
Fairfield Methodist,2019,51,41,32,34,32,34,1
Farrer Park,2019,1,32,57,113,1,32,0
Fengshan,2019,0,99,46,93,0,93,1
Fern Green,2019,2,157,83,164,2,157,0
Fernvale,2019,1,79,67,133,1,79,0
First Toa Payoh,2019,0,16,51,101,0,16,0
Frontier,2019,11,63,35,59,11,59,1
Fuchun,2019,0,52,72,144,0,52,0
Fuhua,2019,1,53,52,104,1,53,0
Gan Eng Seng,2019,0,36,66,132,0,36,0
Geylang Methodist,2019,10,108,78,150,10,108,0
Gongshang,2019,16,69,39,65,16,65,1
Greendale,2019,0,36,106,211,0,36,0
Greenridge,2019,2,75,66,131,2,75,0
Greenwood,2019,4,116,61,117,4,116,0
Guangyang,2019,0,15,46,92,0,15,0
Haig Girls’,2019,14,93,55,96,14,93,0
Henry Park,2019,26,53,32,40,26,40,1
Holy Innocents’,2019,60,72,46,47,46,47,1
Hong Wen,2019,33,116,48,64,33,64,1
Horizon,2019,18,168,91,165,18,165,1
Hougang,2019,19,115,60,100,19,100,1
Huamin,2019,0,138,54,109,0,109,1
Innova,2019,18,80,39,59,18,59,1
Jiemin,2019,7,84,46,85,7,84,0
Jing Shan,2019,1,59,36,71,1,59,0
Junyuan,2019,0,55,24,51,0,51,1
Jurong,2019,0,69,33,66,0,66,1
Jurong West,2019,11,87,46,80,11,80,1
Juying,2019,0,10,33,66,0,10,0
Keming,2019,13,135,40,68,13,68,1
Kheng Cheng,2019,0,129,75,150,0,129,0
Kong Hwa,2019,43,79,51,61,43,61,1
Kranji,2019,0,21,61,122,0,21,0
Kuo Chuan Presbyterian,2019,37,73,46,55,37,55,1
Lakeside,2019,0,147,64,127,0,127,1
Lianhua,2019,0,30,68,135,0,30,0
Maha Bodhi,2019,31,64,44,60,31,60,1
Maris Stella High,2019,59,66,56,57,56,57,1
Marsiling,2019,0,69,54,107,0,69,0
Marymount Convent,2019,11,66,83,156,11,66,0
Mayflower,2019,0,43,63,126,0,43,0
Mee Toh,2019,54,199,93,133,54,133,1
Meridian,2019,0,22,62,124,0,22,0
Methodist Girls’,2019,40,32,21,21,21,21,1
Montfort Junior,2019,15,45,51,87,15,45,0
Nan Chiau,2019,70,235,60,61,60,61,1
Nan Hua,2019,27,96,20,20,20,20,1
Nanyang,2019,30,37,21,21,21,21,1
Naval Base,2019,2,112,74,146,2,112,0
New Town,2019,1,26,82,165,1,26,0
Ngee Ann,2019,16,108,66,118,16,108,0
North Spring,2019,0,56,67,134,0,56,0
North View,2019,1,90,44,87,1,87,1
North Vista,2019,1,56,79,158,1,56,0
Northland,2019,25,243,53,83,25,83,1
Northoaks,2019,0,26,93,185,0,26,0
Oasis,2019,0,115,57,114,0,114,1
Opera Estate,2019,9,91,42,75,9,75,1
Palm View,2019,2,97,71,143,2,97,0
Park View,2019,0,61,52,103,0,61,0
Pasir Ris,2019,22,58,34,45,22,45,1
Paya Lebar Methodist Girls’,2019,65,108,75,88,65,88,1
Pei Chun Public,2019,30,64,28,33,28,33,1
Pei Hwa Presbyterian,2019,41,51,20,21,20,21,1
Pei Tong,2019,0,36,84,169,0,36,0
Peiying,2019,0,41,58,115,0,41,0
Pioneer,2019,0,19,66,131,0,19,0
Poi Ching,2019,24,150,70,115,24,115,1
Princess Elizabeth,2019,0,205,40,82,0,82,1
Punggol,2019,3,141,64,125,3,125,1
Punggol Cove,2019,0,110,61,123,0,110,0
Punggol Green,2019,3,147,25,51,3,51,1
Punggol View,2019,2,105,60,121,2,105,0
Qifa,2019,19,126,69,120,19,120,1
Qihua,2019,0,67,48,95,0,67,0
Queenstown,2019,0,132,60,121,0,121,1
Radin Mas,2019,16,86,33,52,16,52,1
Raffles Girls’,2019,24,172,74,123,24,123,1
Red Swastika,2019,10,59,21,33,10,33,1
River Valley,2019,23,60,33,48,23,48,1
Riverside,2019,0,87,23,46,0,46,1
Rivervale,2019,17,115,62,107,17,107,1
Rosyth,2019,28,76,20,20,20,20,1
Rulang,2019,25,84,22,24,22,24,1
Sembawang,2019,0,93,55,109,0,93,0
Seng Kang,2019,0,52,87,173,0,52,0
Sengkang Green,2019,15,147,43,70,15,70,1
Shuqun,2019,18,77,29,41,18,41,1
Si Ling,2019,0,34,54,108,0,34,0
Singapore Chinese Girls’,2019,31,48,34,37,31,37,1
South View,2019,23,154,38,52,23,52,1
Springdale,2019,1,106,53,107,1,106,0
St. Andrew’s Junior,2019,35,104,51,68,35,68,1
St. Anthony’s,2019,25,87,49,74,25,74,1
St. Anthony’s Canossian,2019,20,61,84,148,20,61,0
St. Gabriel’s,2019,21,63,46,71,21,63,0
St. Hilda’s,2019,45,110,56,68,45,68,1
St. Joseph’s Institution Junior,2019,83,89,60,62,60,62,1
St. Margaret’s,2019,22,82,65,108,22,82,0
St. Stephen’s,2019,22,68,74,126,22,68,0
Stamford,2019,0,29,62,124,0,29,0
Tampines,2019,2,94,46,90,2,90,1
Tampines North,2019,0,76,71,141,0,76,0
Tanjong Katong,2019,4,107,49,95,4,95,1
Tao Nan,2019,36,62,35,36,35,36,1
Teck Ghee,2019,11,86,47,83,11,83,1
Teck Whye,2019,0,14,73,146,0,14,0
Telok Kurau,2019,0,63,67,134,0,63,0
Temasek,2019,27,55,20,21,20,21,1
Townsville,2019,0,43,57,114,0,43,0
Unity,2019,0,61,54,108,0,61,0
Valour,2019,3,149,110,217,3,149,0
Waterway,2019,0,140,83,165,0,140,0
Wellington,2019,0,131,85,170,0,131,0
West Grove,2019,17,74,40,63,17,63,1
West Spring,2019,18,105,23,31,18,31,1
West View,2019,0,53,64,127,0,53,0
Westwood,2019,12,80,29,47,12,47,1
White Sands,2019,19,84,40,61,19,61,1
Woodgrove,2019,6,94,41,76,6,76,1
Woodlands,2019,5,80,39,74,5,74,1
Woodlands Ring,2019,2,85,61,119,2,85,0
Xinghua,2019,0,36,63,126,0,36,0
Xingnan,2019,4,63,37,72,4,63,0
Xinmin,2019,11,98,48,85,11,85,1
Xishan,2019,3,59,83,162,3,59,0
Yangzheng,2019,11,86,44,78,11,78,1
Yew Tee,2019,4,58,55,106,4,58,0
Yio Chu Kang,2019,0,27,65,130,0,27,0
Yishun,2019,0,46,55,111,0,46,0
Yu Neng,2019,12,59,25,40,12,40,1
Yuhua,2019,0,34,65,130,0,34,0
Yumin,2019,0,30,46,93,0,30,0
Zhangde,2019,1,124,62,124,1,124,0
Zhenghua,2019,2,76,51,100,2,76,0
Zhonghua,2019,1,13,47,93,1,13,0
Admiralty,2020,48,79,49,50,48,50,1
Ahmad Ibrahim,2020,0,31,97,194,0,31,0
Ai Tong,2020,27,64,20,20,20,20,1
Alexandra,2020,14,132,47,83,14,83,1
Anchor Green,2020,1,62,51,101,1,62,0
Anderson,2020,21,65,30,38,21,38,1
Ang Mo Kio,2020,0,39,70,143,0,39,0
Anglo-Chinese (Junior),2020,59,41,26,25,26,25,1
Anglo-Chinese (Primary),2020,50,46,25,26,25,26,1
Angsana,2020,0,21,103,205,0,21,0
Beacon,2020,0,65,99,197,0,65,0
Bedok Green,2020,0,23,77,154,0,23,0
Bendemeer,2020,1,45,55,109,1,45,0
Blangah Rise,2020,0,17,75,149,0,17,0
Boon Lay Garden,2020,0,36,87,173,0,36,0
Bukit Panjang,2020,24,85,46,67,24,67,1
Bukit Timah,2020,1,91,73,145,1,91,0
Bukit View,2020,0,26,88,176,0,26,0
CHIJ (Katong),2020,15,68,61,107,15,68,0
CHIJ (Kellock),2020,26,104,67,109,26,104,0
CHIJ (Toa Payoh),2020,63,49,35,35,35,35,1
CHIJ Our Lady Queen of Peace,2020,23,70,66,108,23,70,0
CHIJ Our Lady of Good Counsel,2020,20,97,54,87,20,87,1
CHIJ Our Lady of the Nativity,2020,65,97,74,84,65,84,1
CHIJ St. Nicholas Girls’,2020,32,49,21,21,21,21,1
Canberra,2020,64,116,57,57,57,57,1
Canossa Catholic,2020,13,59,39,67,13,59,0
Cantonment,2020,0,44,79,160,0,44,0
Casuarina,2020,0,90,50,99,0,90,0
Catholic High,2020,41,47,21,21,21,21,1
Cedar,2020,1,41,88,175,1,41,0
Changkat,2020,1,70,74,147,1,70,0
Chongfu,2020,45,133,40,41,40,41,1
Chongzheng,2020,23,52,27,33,23,33,1
Chua Chu Kang,2020,14,182,56,98,14,98,1
Clementi,2020,5,122,75,145,5,122,0
Compassvale,2020,20,130,69,118,20,118,1
Concord,2020,4,120,56,108,4,108,1
Corporation,2020,0,57,73,146,0,57,0
Damai,2020,0,37,65,131,0,37,0
Dazhong,2020,0,43,52,104,0,43,0
De La Salle,2020,20,105,60,104,20,104,1
East Spring,2020,1,67,59,116,1,67,0
Edgefield,2020,0,79,67,134,0,79,0
Elias Park,2020,0,98,42,84,0,84,1
Endeavour,2020,4,76,72,140,4,76,0
Eunos,2020,0,25,50,99,0,25,0
Evergreen,2020,3,91,49,95,3,91,0
Fairfield Methodist,2020,51,64,25,27,25,27,1
Farrer Park,2020,1,32,69,136,1,32,0
Fengshan,2020,0,110,31,62,0,62,1
Fern Green,2020,7,126,51,95,7,95,1
Fernvale,2020,0,71,70,140,0,71,0
First Toa Payoh,2020,0,16,80,160,0,16,0
Frontier,2020,17,71,20,23,17,23,1
Fuchun,2020,0,55,38,75,0,55,0
Fuhua,2020,0,96,56,113,0,96,0
Gan Eng Seng,2020,0,45,75,152,0,45,0
Geylang Methodist,2020,10,123,75,141,10,123,0
Gongshang,2020,21,91,21,21,21,21,1
Greendale,2020,0,52,110,219,0,52,0
Greenridge,2020,0,61,78,156,0,61,0
Greenwood,2020,0,114,70,139,0,114,0
Guangyang,2020,0,15,64,127,0,15,0
Haig Girls’,2020,15,117,58,102,15,102,1
Henry Park,2020,23,56,20,20,20,20,1
Holy Innocents’,2020,58,81,41,43,41,43,1
Hong Wen,2020,27,138,50,73,27,73,1
Horizon,2020,24,140,46,68,24,68,1
Hougang,2020,19,139,52,84,19,84,1
Huamin,2020,0,141,60,123,0,123,1
Innova,2020,21,87,43,65,21,65,1
Jiemin,2020,1,74,51,101,1,74,0
Jing Shan,2020,2,60,40,79,2,60,0
Junyuan,2020,1,87,42,82,1,82,1
Jurong,2020,0,60,25,49,0,49,1
Jurong West,2020,11,74,41,70,11,70,1
Juying,2020,0,10,48,96,0,10,0
Keming,2020,21,144,44,67,21,67,1
Kheng Cheng,2020,3,140,67,132,3,132,1
Kong Hwa,2020,41,91,42,44,41,44,1
Kranji,2020,0,12,84,168,0,12,0
Kuo Chuan Presbyterian,2020,55,50,37,37,37,37,1
Lakeside,2020,0,138,63,126,0,126,1
Lianhua,2020,0,22,88,176,0,22,0
Maha Bodhi,2020,53,105,55,60,53,60,1
Maris Stella High,2020,67,64,50,51,50,51,1
Marsiling,2020,0,77,74,147,0,77,0
Marymount Convent,2020,9,72,96,183,9,72,0
Mayflower,2020,0,30,66,132,0,30,0
Mee Toh,2020,50,160,70,90,50,90,1
Meridian,2020,0,31,89,178,0,31,0
Methodist Girls’,2020,39,39,27,26,27,26,1
Montfort Junior,2020,5,63,46,86,5,63,0
Nan Chiau,2020,81,225,72,72,72,72,1
Nan Hua,2020,19,115,20,22,19,22,1
Nanyang,2020,48,78,21,20,21,20,1
Naval Base,2020,2,116,81,160,2,116,0
New Town,2020,0,27,110,220,0,27,0
Ngee Ann,2020,24,116,65,107,24,107,1
North Spring,2020,0,84,87,174,0,84,0
North View,2020,1,102,59,117,1,102,0
North Vista,2020,1,79,68,134,1,79,0
Northland,2020,28,215,38,49,28,49,1
Northoaks,2020,0,7,89,179,0,7,0
Northshore,2020,0,47,105,210,0,47,0
Oasis,2020,2,108,40,81,2,81,1
Opera Estate,2020,1,83,39,76,1,76,1
Palm View,2020,10,100,86,162,10,100,0
Park View,2020,0,95,63,125,0,95,0
Pasir Ris,2020,24,81,29,33,24,33,1
Paya Lebar Methodist Girls’,2020,56,109,68,81,56,81,1
Pei Chun Public,2020,30,68,22,21,22,21,1
Pei Hwa Presbyterian,2020,29,63,20,21,20,21,1
Pei Tong,2020,0,29,73,147,0,29,0
Peiying,2020,0,44,47,93,0,44,0
Pioneer,2020,0,20,46,93,0,20,0
Poi Ching,2020,36,172,53,70,36,70,1
Princess Elizabeth,2020,2,226,20,38,2,38,1
Punggol,2020,12,124,59,106,12,106,1
Punggol Cove,2020,1,103,57,113,1,103,0
Punggol Green,2020,3,138,30,59,3,59,1
Punggol View,2020,0,58,22,44,0,44,1
Qifa,2020,22,97,46,70,22,70,1
Qihua,2020,4,69,69,133,4,69,0
Queenstown,2020,2,154,75,148,2,148,1
Radin Mas,2020,21,75,21,23,21,23,1
Raffles Girls’,2020,28,176,52,77,28,77,1
Red Swastika,2020,11,65,21,30,11,30,1
River Valley,2020,27,62,31,35,27,35,1
Riverside,2020,1,89,27,52,1,52,1
Rivervale,2020,21,143,73,125,21,125,1
Rosyth,2020,33,94,21,20,21,20,1
Rulang,2020,30,74,20,20,20,20,1
Sembawang,2020,0,109,53,105,0,105,1
Seng Kang,2020,0,40,75,152,0,40,0
Sengkang Green,2020,17,115,26,36,17,36,1
Shuqun,2020,13,86,22,31,13,31,1
Si Ling,2020,0,16,68,136,0,16,0
Singapore Chinese Girls’,2020,31,56,24,23,24,23,1
South View,2020,24,139,25,26,24,26,1
Springdale,2020,2,136,53,106,2,106,1
St. Andrew’s Junior,2020,44,122,66,89,44,89,1
St. Anthony’s,2020,33,96,37,40,33,40,1
St. Anthony’s Canossian,2020,12,38,89,167,12,38,0
St. Gabriel’s,2020,32,80,55,78,32,78,1
St. Hilda’s,2020,37,79,20,22,20,22,1
St. Joseph’s Institution Junior,2020,82,75,58,57,58,57,1
St. Margaret’s,2020,28,98,63,97,28,97,1
St. Stephen’s,2020,18,74,85,154,18,74,0
Stamford,2020,0,24,58,115,0,24,0
Tampines,2020,1,98,41,83,1,83,1
Tampines North,2020,0,82,74,147,0,82,0
Tanjong Katong,2020,3,114,46,89,3,89,1
Tao Nan,2020,53,75,20,21,20,21,1
Teck Ghee,2020,14,119,55,96,14,96,1
Teck Whye,2020,0,23,91,183,0,23,0
Telok Kurau,2020,1,50,85,170,1,50,0
Temasek,2020,12,106,20,28,12,28,1
Townsville,2020,0,38,85,170,0,38,0
Unity,2020,0,83,79,158,0,83,0
Valour,2020,0,207,132,263,0,207,0
Waterway,2020,0,128,46,92,0,92,1
Wellington,2020,0,116,47,94,0,94,1
West Grove,2020,7,119,53,99,7,99,1
West Spring,2020,19,126,32,45,19,45,1
West View,2020,1,38,69,137,1,38,0
Westwood,2020,10,87,20,31,10,31,1
White Sands,2020,22,69,39,55,22,55,1
Woodgrove,2020,16,96,52,87,16,87,1
Woodlands,2020,3,95,43,84,3,84,1
Woodlands Ring,2020,0,67,57,116,0,67,0
Xinghua,2020,0,48,111,222,0,48,0
Xingnan,2020,6,63,57,110,6,63,0
Xinmin,2020,15,91,38,61,15,61,1
Xishan,2020,0,48,49,98,0,48,0
Yangzheng,2020,15,102,45,74,15,74,1
Yew Tee,2020,7,53,77,148,7,53,0
Yio Chu Kang,2020,0,50,96,192,0,50,0
Yishun,2020,0,43,48,97,0,43,0
Yu Neng,2020,14,48,21,28,14,28,1
Yuhua,2020,0,44,87,175,0,44,0
Yumin,2020,1,48,50,100,1,48,0
Zhangde,2020,0,128,63,125,0,125,1
Zhenghua,2020,1,92,56,111,1,92,0
Zhonghua,2020,0,14,74,147,0,14,0
Admiralty,2021,60,93,50,50,50,50,1
Ahmad Ibrahim,2021,0,26,82,164,0,26,0
Ai Tong,2021,38,66,20,20,20,20,1
Alexandra,2021,6,112,48,91,6,91,1
Anchor Green,2021,0,48,48,95,0,48,0
Anderson,2021,22,75,37,52,22,52,1
Ang Mo Kio,2021,0,50,91,181,0,50,0
Anglo-Chinese (Junior),2021,54,51,33,33,33,33,1
Anglo-Chinese (Primary),2021,44,40,26,25,26,25,1
Angsana,2021,0,79,97,195,0,79,0
Beacon,2021,0,51,80,160,0,51,0
Bedok Green,2021,0,35,102,204,0,35,0
Bendemeer,2021,0,53,87,173,0,53,0
Blangah Rise,2021,0,11,61,122,0,11,0
Boon Lay Garden,2021,0,41,87,175,0,41,0
Bukit Panjang,2021,21,71,33,47,21,47,1
Bukit Timah,2021,0,81,71,142,0,81,0
Bukit View,2021,0,37,83,166,0,37,0
CHIJ (Katong),2021,32,72,58,85,32,72,0
CHIJ (Kellock),2021,23,81,71,119,23,81,0
CHIJ (Toa Payoh),2021,59,57,42,44,42,44,1
CHIJ Our Lady Queen of Peace,2021,14,84,64,115,14,84,0
CHIJ Our Lady of Good Counsel,2021,18,54,42,65,18,54,0
CHIJ Our Lady of the Nativity,2021,57,104,78,100,57,100,1
CHIJ St. Nicholas Girls’,2021,40,61,20,20,20,20,1
Canberra,2021,9,159,69,129,9,129,1
Canossa Catholic,2021,14,59,53,92,14,59,0
Cantonment,2021,1,66,89,177,1,66,0
Casuarina,2021,0,44,38,77,0,44,0
Catholic High,2021,35,48,20,21,20,21,1
Cedar,2021,1,72,97,193,1,72,0
Changkat,2021,0,56,75,150,0,56,0
Chongfu,2021,52,126,34,33,34,33,1
Chongzheng,2021,15,65,23,30,15,30,1
Chua Chu Kang,2021,11,159,55,99,11,99,1
Clementi,2021,4,100,80,159,4,100,0
Compassvale,2021,22,143,68,116,22,116,1
Concord,2021,4,113,61,118,4,113,0
Corporation,2021,0,39,93,187,0,39,0
Damai,2021,0,40,99,198,0,40,0
Dazhong,2021,1,72,45,88,1,72,0
De La Salle,2021,15,100,59,102,15,100,0
East Spring,2021,0,70,72,143,0,70,0
Edgefield,2021,0,80,67,134,0,80,0
Elias Park,2021,0,108,44,89,0,89,1
Endeavour,2021,3,70,80,156,3,70,0
Evergreen,2021,0,72,56,112,0,72,0
Fairfield Methodist,2021,41,72,23,24,23,24,1
Farrer Park,2021,0,34,79,159,0,34,0
Fengshan,2021,1,91,41,81,1,81,1
Fern Green,2021,2,101,48,93,2,93,1
Fernvale,2021,0,81,74,148,0,81,0
First Toa Payoh,2021,0,19,91,182,0,19,0
Frontier,2021,14,58,21,29,14,29,1
Fuchun,2021,0,50,62,124,0,50,0
Fuhua,2021,0,58,54,108,0,58,0
Gan Eng Seng,2021,0,29,83,167,0,29,0
Geylang Methodist,2021,10,141,76,141,10,141,0
Gongshang,2021,19,85,21,22,19,22,1
Greendale,2021,0,30,110,219,0,30,0
Greenridge,2021,0,46,73,145,0,46,0
Greenwood,2021,1,101,74,147,1,101,0
Haig Girls’,2021,0,119,56,115,0,115,1
Henry Park,2021,26,80,25,24,25,24,1
Holy Innocents’,2021,47,65,21,21,21,21,1
Hong Wen,2021,19,149,45,71,19,71,1
Horizon,2021,13,109,21,28,13,28,1
Hougang,2021,17,140,58,99,17,99,1
Huamin,2021,0,116,31,62,0,62,1
Innova,2021,11,83,42,73,11,73,1
Jiemin,2021,2,76,66,130,2,76,0
Jing Shan,2021,0,72,37,75,0,72,0
Junyuan,2021,0,96,54,109,0,96,0
Jurong,2021,0,80,41,86,0,80,0
Jurong West,2021,6,111,45,85,6,85,1
Keming,2021,16,126,40,66,16,66,1
Kheng Cheng,2021,0,127,46,94,0,94,1
Kong Hwa,2021,45,72,43,42,43,42,1
Kranji,2021,0,13,63,125,0,13,0
Kuo Chuan Presbyterian,2021,51,91,58,66,51,66,1
Lakeside,2021,0,143,53,105,0,105,1
Lianhua,2021,0,38,87,173,0,38,0
Maha Bodhi,2021,52,71,48,50,48,50,1
Maris Stella High,2021,73,72,60,62,60,62,1
Marsiling,2021,0,78,67,134,0,78,0
Marymount Convent,2021,25,93,95,166,25,93,0
Mayflower,2021,0,34,66,132,0,34,0
Mee Toh,2021,64,152,72,80,64,80,1
Meridian,2021,0,24,76,153,0,24,0
Methodist Girls’,2021,45,51,27,27,27,27,1
Montfort Junior,2021,14,45,76,137,14,45,0
Nan Chiau,2021,88,204,62,64,62,64,1
Nan Hua,2021,34,141,21,21,21,21,1
Nanyang,2021,31,61,20,20,20,20,1
Naval Base,2021,0,108,48,96,0,96,1
New Town,2021,0,24,113,225,0,24,0
Ngee Ann,2021,3,141,61,120,3,120,1
North Spring,2021,0,54,83,166,0,54,0
North View,2021,0,104,73,147,0,104,0
North Vista,2021,1,64,73,145,1,64,0
Northland,2021,36,191,27,28,27,28,1
Northoaks,2021,0,17,70,140,0,17,0
Northshore,2021,1,93,117,233,1,93,0
Oasis,2021,0,97,43,86,0,86,1
Opera Estate,2021,0,77,56,112,0,77,0
Palm View,2021,3,89,87,172,3,89,0
Park View,2021,0,83,59,118,0,83,0
Pasir Ris,2021,22,54,28,33,22,33,1
Paya Lebar Methodist Girls’,2021,51,105,56,62,51,62,1
Pei Chun Public,2021,26,43,21,21,21,21,1
Pei Hwa Presbyterian,2021,31,53,21,21,21,21,1
Pei Tong,2021,0,39,94,188,0,39,0
Peiying,2021,0,44,63,126,0,44,0
Poi Ching,2021,44,195,61,79,44,79,1
Princess Elizabeth,2021,7,236,26,45,7,45,1
Punggol,2021,10,104,40,70,10,70,1
Punggol Cove,2021,1,96,51,102,1,96,0
Punggol Green,2021,3,97,20,37,3,37,1
Punggol View,2021,1,66,39,76,1,66,0
Qifa,2021,14,141,63,112,14,112,1
Qihua,2021,0,52,69,137,0,52,0
Queenstown,2021,1,112,60,119,1,112,0
Radin Mas,2021,12,76,25,39,12,39,1
Raffles Girls’,2021,39,116,68,97,39,97,1
Red Swastika,2021,19,77,22,25,19,25,1
River Valley,2021,27,72,38,49,27,49,1
Riverside,2021,1,88,24,46,1,46,1
Rivervale,2021,21,136,65,108,21,108,1
Rosyth,2021,31,101,21,22,21,22,1
Rulang,2021,24,92,20,20,20,20,1
Sembawang,2021,0,123,52,104,0,104,1
Seng Kang,2021,0,31,99,198,0,31,0
Sengkang Green,2021,14,117,44,74,14,74,1
Shuqun,2021,9,97,32,55,9,55,1
Si Ling,2021,0,24,52,103,0,24,0
Singapore Chinese Girls’,2021,37,39,31,30,31,30,1
South View,2021,23,130,21,20,21,20,1
Springdale,2021,2,86,30,59,2,59,1
St. Andrew’s Junior,2021,25,105,45,64,25,64,1
St. Anthony’s,2021,29,89,39,51,29,51,1
St. Anthony’s Canossian,2021,12,37,86,161,12,37,0
St. Gabriel’s,2021,17,75,50,83,17,75,0
St. Hilda’s,2021,51,118,21,20,21,20,1
St. Joseph’s Institution Junior,2021,98,85,59,59,59,59,1
St. Margaret’s,2021,16,110,54,91,16,91,1
St. Stephen’s,2021,26,77,86,145,26,77,0
Tampines,2021,0,105,51,102,0,102,1
