school,total_years_observed,years_with_balloting,ballot_frequency,avg_phase2c_demand,avg_phase2c_demand_capped,avg_phase2c_demand_norm,ballot_frequency_norm,demand_index
Edgefield,17,3,0.1764705882352941,0.7095276945367146,0.7095276945367146,0.180742834,0.1764705882352941,17.94611603
Xingnan,17,2,0.1176470588235294,0.7341180244446738,0.7341180244446738,0.18829606,0.1176470588235294,16.71013599
North Vista,17,2,0.1176470588235294,0.7078973788699245,0.7078973788699245,0.180242062,0.1176470588235294,16.14635613
Woodlands Ring,17,2,0.1176470588235294,0.6929040452486065,0.6929040452486065,0.175636673,0.1176470588235294,15.82397888
Angsana,17,3,0.1764705882352941,0.5977937587154986,0.5977937587154986,0.146422363,0.1764705882352941,15.54368309
Opera Estate,17,2,0.1176470588235294,0.671489765,0.671489765,0.16905901,0.1176470588235294,15.36354247
Casuarina,17,2,0.1176470588235294,0.6571574424356776,0.6571574424356776,0.164656659,0.1176470588235294,15.05537787
Anchor Green,17,3,0.1764705882352941,0.5726435555691398,0.5726435555691398,0.138697165,0.1764705882352941,15.00291921
Zhenghua,17,0,0,0.7444174193319265,0.7444174193319265,0.191459648,0,13.40217534
Palm View,14,1,0.071428571,0.6365304123811085,0.6365304123811085,0.158320809,0.071428571,13.22531379
Changkat,17,1,0.058823529,0.6374075169228669,0.6374075169228669,0.158590223,0.058823529,12.86602148
Yishun,17,1,0.058823529,0.5816576806559155,0.5816576806559155,0.141465966,0.058823529,11.6673235
Dazhong,17,1,0.058823529,0.5737531284708601,0.5737531284708601,0.139037984,0.058823529,11.49736478
Punggol Cove,11,0,0,0.6408584319889972,0.6408584319889972,0.159650214,0,11.17551501
Canossa Catholic,17,1,0.058823529,0.5448237882252286,0.5448237882252286,0.130151977,0.058823529,10.87534427
Cedar,17,1,0.058823529,0.5165152599638294,0.5165152599638294,0.12145666,0.058823529,10.26667207
St. Anthony’s Canossian,17,1,0.058823529,0.5137796488667836,0.5137796488667836,0.120616383,0.058823529,10.20785267
Fuhua,17,0,0,0.5759910844603191,0.5759910844603191,0.1397254,0,9.780778025
Fernvale,17,0,0,0.5505970281169493,0.5505970281169493,0.1319253,0,9.234770967
Gan Eng Seng,17,1,0.058823529,0.4657956262037051,0.4657956262037051,0.105877492,0.058823529,9.176130342
Marymount Convent,17,0,0,0.5387559191492113,0.5387559191492113,0.128288155,0,8.980170876
Bukit Timah,17,0,0,0.5324713921420975,0.5324713921420975,0.126357785,0,8.845044921
Park View,17,0,0,0.5194505585389819,0.5194505585389819,0.122358273,0,8.565079131
Marsiling,17,0,0,0.5115393789246281,0.5115393789246281,0.119928256,0,8.394977914
Qihua,17,0,0,0.495856237,0.495856237,0.115110984,0,8.05776885
Peiying,17,0,0,0.49378930545772126,0.49378930545772126,0.1144761,0,8.013326977
Ang Mo Kio,17,0,0,0.4850316006456392,0.4850316006456392,0.111786062,0,7.825024306
Cantonment,16,0,0,0.47998939954870534,0.47998939954870534,0.110237287,0,7.716610063
Tampines North,17,0,0,0.4769404049551858,0.4769404049551858,0.10930075,0,7.651052496
Pioneer,13,0,0,0.4659847613967679,0.4659847613967679,0.105935588,0,7.415491126
Bukit View,17,0,0,0.4512482566886343,0.4512482566886343,0.101409086,0,7.098636052
Bedok Green,17,0,0,0.4494754731724382,0.4494754731724382,0.100864554,0,7.060518774
Corporation,17,0,0,0.445601853,0.445601853,0.099674723,0,6.977230626
Bendemeer,17,0,0,0.44413668269398804,0.44413668269398804,0.099224678,0,6.945727453
Xishan,17,0,0,0.4425618134761611,0.4425618134761611,0.098740937,0,6.911865604
Mayflower,17,0,0,0.41870450224292266,0.41870450224292266,0.091412867,0,6.398900674
Townsville,16,0,0,0.3753455300557624,0.3753455300557624,0.078094618,0,5.466623274
Yumin,17,0,0,0.3717261343940833,0.3717261343940833,0.076982876,0,5.388801301
Ahmad Ibrahim,17,0,0,0.36905928557590484,0.36905928557590484,0.07616372,0,5.331460392
West View,17,0,0,0.36186331600774213,0.36186331600774213,0.073953388,0,5.176737171
Pei Tong,17,0,0,0.3615972701196681,0.3615972701196681,0.073871669,0,5.17101682
Greendale,17,0,0,0.3615704385489595,0.3615704385489595,0.073863427,0,5.170439904
New Town,17,0,0,0.35638773359309717,0.35638773359309717,0.072271495,0,5.059004636
