school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Park View,2025,0,0,37,0,42,42,110,0,0,0.381818182
Pasir Ris,2025,19,19,20,0,59,41,41,1,0.95,1.43902439
Paya Lebar Methodist Girls’,2025,46,19,44,1,110,4,89,1,1.045454545,1.235955056
Pei Chun Public,2025,32,21,21,1,94,45,45,1,1.523809524,2.088888889
Pei Hwa Presbyterian,2025,51,20,20,1,84,41,41,1,2.55,2.048780488
Pei Tong,2025,0,0,73,0,30,30,220,0,0,0.136363636
Peiying,2025,0,0,35,0,53,53,105,0,0,0.504761905
Pioneer,2025,6,6,113,0,194,194,332,0,0.053097345,0.584337349
Poi Ching,2025,42,42,47,0,212,99,99,1,0.893617021,2.141414141
Princess Elizabeth,2025,28,20,20,1,232,41,41,1,1.4,5.658536585
Punggol,2025,3,3,20,0,75,0,59,1,0.15,1.271186441
Punggol Cove,2025,0,0,42,0,26,26,126,0,0,0.206349206
Punggol Green,2025,3,3,20,0,118,58,58,1,0.15,2.034482759
Punggol View,2025,0,0,26,0,56,56,77,0,0,0.727272727
Qifa,2025,12,12,47,0,148,9,131,1,0.255319149,1.129770992
Qihua,2025,0,0,37,0,52,52,112,0,0,0.464285714
Queenstown,2025,0,0,35,0,115,8,105,1,0,1.095238095
Radin Mas,2025,22,22,23,0,96,47,47,1,0.956521739,2.042553191
Raffles Girls’,2025,31,31,49,0,143,17,115,1,0.632653061,1.243478261
Red Swastika,2025,42,20,20,1,93,41,41,1,2.1,2.268292683
River Valley,2025,14,14,35,0,94,94,94,0,0.4,1
Riverside,2025,6,6,20,0,79,54,54,1,0.3,1.462962963
Rivervale,2025,17,17,38,0,111,96,96,1,0.447368421,1.15625
Rosyth,2025,31,20,20,1,132,42,42,1,1.55,3.142857143
Rulang,2025,30,20,20,1,98,40,40,1,1.5,2.45
Sembawang,2025,0,0,25,0,107,75,75,1,0,1.426666667
Seng Kang,2025,0,0,42,0,11,11,127,0,0,0.086614173
Sengkang Green,2025,15,15,20,0,84,48,48,1,0.75,1.75
Shuqun,2025,20,20,20,0,79,41,41,1,1,1.926829268
Si Ling,2025,0,0,39,0,26,26,118,0,0,0.220338983
Singapore Chinese Girls’,2025,27,20,20,1,58,41,41,1,1.35,1.414634146
South View,2025,26,20,20,1,155,41,41,1,1.3,3.780487805
Springdale,2025,0,0,30,0,66,66,92,0,0,0.717391304
St. Andrew’s Junior,2025,33,33,39,0,104,84,84,1,0.846153846,1.238095238
St. Anthony’s,2025,34,34,39,0,124,11,85,1,0.871794872,1.458823529
St. Anthony’s Canossian,2025,3,3,55,0,33,33,164,0,0.054545455,0.201219512
St. Gabriel’s,2025,18,18,33,0,70,70,82,0,0.545454545,0.853658537
St. Hilda’s,2025,29,20,20,1,136,43,43,1,1.45,3.162790698
St. Joseph’s Institution Junior,2025,77,0,39,1,115,25,78,1,1.974358974,1.474358974
St. Margaret’s,2025,15,15,42,0,125,0,113,1,0.357142857,1.10619469
St. Stephen’s,2025,11,11,64,0,74,74,183,0,0.171875,0.404371585
Tampines,2025,2,2,44,0,84,84,131,0,0.045454545,0.641221374
Tampines North,2025,0,0,64,0,60,60,191,0,0,0.314136126
