school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Damai,2011,0,0,73,0,16,16,145,0,0,0.110344828
Dazhong,2011,1,1,64,0,29,29,128,0,0.015625,0.2265625
De La Salle,2011,54,53,67,0,109,82,82,1,0.805970149,1.329268293
East Spring,2011,5,5,47,0,93,90,90,1,0.106382979,1.033333333
Edgefield,2011,10,10,64,0,152,120,120,1,0.15625,1.266666667
Elias Park,2011,0,0,47,0,97,93,93,1,0,1.043010753
Endeavour,2011,22,22,50,0,153,77,77,1,0.44,1.987012987
Eunos,2011,1,1,79,0,36,36,157,0,0.012658228,0.229299363
Evergreen,2011,24,24,55,0,160,85,85,1,0.436363636,1.882352941
Fairfield Methodist,2011,66,48,48,1,56,49,49,1,1.375,1.142857143
Farrer Park,2011,2,2,79,0,18,18,156,0,0.025316456,0.115384615
Fengshan,2011,2,2,39,0,113,76,76,1,0.051282051,1.486842105
Fernvale,2011,1,1,90,0,147,147,180,0,0.011111111,0.816666667
First Toa Payoh,2011,0,0,86,0,19,19,171,0,0,0.111111111
Frontier,2011,5,5,120,0,278,235,235,1,0.041666667,1.182978723
Fuchun,2011,5,5,66,0,130,126,126,1,0.075757576,1.031746032
Fuhua,2011,0,0,76,0,67,66,153,0,0,0.437908497
Gan Eng Seng,2011,2,2,70,0,100,100,140,0,0.028571429,0.714285714
Geylang Methodist,2011,8,8,66,0,132,125,125,1,0.121212121,1.056
Gongshang,2011,46,46,55,0,97,63,63,1,0.836363636,1.53968254
Greendale,2011,0,0,87,0,70,69,173,0,0,0.404624277
Greenridge,2011,7,7,67,0,160,128,128,1,0.104477612,1.25
Greenwood,2011,6,6,42,0,99,77,77,1,0.142857143,1.285714286
Guangyang,2011,0,0,79,0,22,22,158,0,0,0.139240506
Haig Girls’,2011,1,1,60,0,101,101,119,0,0.016666667,0.848739496
Henry Park,2011,30,29,29,1,68,30,30,1,1.034482759,2.266666667
Holy Innocents’,2011,63,57,57,1,70,56,56,1,1.105263158,1.25
Hong Wen,2011,50,49,53,0,100,57,57,1,0.943396226,1.754385965
Horizon,2011,3,3,139,0,192,192,274,0,0.021582734,0.700729927
Hougang,2011,28,28,61,0,126,93,93,1,0.459016393,1.35483871
Huamin,2011,2,2,59,0,38,37,115,0,0.033898305,0.330434783
Innova,2011,12,12,63,0,150,114,114,1,0.19047619,1.315789474
Jiemin,2011,1,1,45,0,124,89,89,1,0.022222222,1.393258427
Jing Shan,2011,2,2,54,0,79,79,107,0,0.037037037,0.738317757
Junyuan,2011,1,1,66,0,71,71,130,0,0.015151515,0.546153846
Jurong,2011,11,11,54,0,122,98,98,1,0.203703704,1.244897959
Jurong West,2011,35,34,82,0,116,116,129,0,0.426829268,0.899224806
Juying,2011,0,0,78,0,24,23,162,0,0,0.148148148
Keming,2011,27,27,57,0,135,88,88,1,0.473684211,1.534090909
Kheng Cheng,2011,3,3,76,0,149,149,149,0,0.039473684,1
Kong Hwa,2011,69,47,47,1,82,48,48,1,1.468085106,1.708333333
Kranji,2011,1,1,76,0,35,35,151,0,0.013157895,0.231788079
Kuo Chuan Presbyterian,2011,34,33,72,0,123,111,111,1,0.472222222,1.108108108
Lakeside,2011,0,0,71,0,115,115,143,0,0,0.804195804
Lianhua,2011,0,0,70,0,56,56,142,0,0,0.394366197
Maha Bodhi,2011,55,55,55,0,69,56,56,1,1,1.232142857
Maris Stella High,2011,88,76,76,1,95,77,77,1,1.157894737,1.233766234
Marsiling,2011,1,1,92,0,77,77,182,0,0.010869565,0.423076923
Marymount Convent,2011,21,21,93,0,112,112,165,0,0.225806452,0.678787879
Mayflower,2011,1,1,79,0,68,67,157,0,0.012658228,0.433121019
Mee Toh,2011,73,73,76,0,157,82,82,1,0.960526316,1.914634146
Meridian,2011,0,0,67,0,52,50,136,0,0,0.382352941
Methodist Girls’,2011,50,35,35,1,51,35,35,1,1.428571429,1.457142857
Montfort Junior,2011,7,7,85,0,48,47,162,0,0.082352941,0.296296296
Nan Chiau,2011,83,68,68,1,181,69,69,1,1.220588235,2.623188406
Nan Hua,2011,38,28,28,1,84,28,28,1,1.357142857,3
Nanyang,2011,45,28,28,1,53,30,30,1,1.607142857,1.766666667
Naval Base,2011,0,0,75,0,39,39,149,0,0,0.261744966
New Town,2011,0,0,83,0,103,103,165,0,0,0.624242424
Ngee Ann,2011,24,24,64,0,112,105,105,1,0.375,1.066666667
North Spring,2011,0,0,98,0,58,58,197,0,0,0.294416244
North View,2011,2,1,61,0,69,69,120,0,0.032786885,0.575
North Vista,2011,8,8,100,0,185,185,194,0,0.08,0.953608247
Northland,2011,54,44,44,1,146,44,44,1,1.227272727,3.318181818
Opera Estate,2011,0,0,68,0,30,30,137,0,0,0.218978102
Park View,2011,1,1,58,0,54,53,115,0,0.017241379,0.469565217
Pasir Ris,2011,26,26,38,0,91,50,50,1,0.684210526,1.82
Paya Lebar Methodist Girls’,2011,76,76,86,0,106,97,97,1,0.88372093,1.092783505
Pei Chun Public,2011,67,61,61,1,114,61,61,1,1.098360656,1.868852459
Pei Hwa Presbyterian,2011,70,44,44,1,58,43,43,1,1.590909091,1.348837209
Pei Tong,2011,2,2,76,0,59,59,151,0,0.026315789,0.390728477
Peiying,2011,2,2,57,0,68,68,112,0,0.035087719,0.607142857
Pioneer,2011,1,1,77,0,70,70,154,0,0.012987013,0.454545455
Poi Ching,2011,33,33,55,0,83,78,78,1,0.6,1.064102564
Princess Elizabeth,2011,5,5,28,0,117,53,53,1,0.178571429,2.20754717
Punggol,2011,1,1,61,0,100,100,120,0,0.016393443,0.833333333
Qifa,2011,7,6,60,0,101,101,115,0,0.116666667,0.87826087
Qihua,2011,0,0,83,0,103,102,167,0,0,0.616766467
Queenstown,2011,0,0,71,0,77,77,142,0,0,0.542253521
Radin Mas,2011,40,40,60,0,118,81,81,1,0.666666667,1.456790123
Raffles Girls’,2011,49,41,42,1,46,42,42,1,1.166666667,1.095238095
Red Swastika,2011,29,22,22,1,75,22,22,1,1.318181818,3.409090909
River Valley,2011,42,41,54,0,78,69,69,1,0.777777778,1.130434783
Rivervale,2011,32,32,60,0,163,88,88,1,0.533333333,1.852272727
Rosyth,2011,41,25,25,1,108,24,24,1,1.64,4.5
Rulang,2011,35,19,19,1,92,21,21,1,1.842105263,4.380952381
Sembawang,2011,1,1,113,0,47,47,225,0,0.008849558,0.208888889
Seng Kang,2011,1,1,78,0,38,38,155,0,0.012820513,0.24516129
Shuqun,2011,23,23,57,0,174,92,92,1,0.403508772,1.891304348
Si Ling,2011,3,3,88,0,62,62,173,0,0.034090909,0.358381503
Singapore Chinese Girls’,2011,37,37,40,0,51,43,43,1,0.925,1.186046512
South View,2011,17,17,19,0,102,21,21,1,0.894736842,4.857142857
St. Andrew’s Junior,2011,77,63,63,1,84,62,62,1,1.222222222,1.35483871
St. Anthony’s,2011,37,36,68,0,124,101,101,1,0.544117647,1.227722772
St. Anthony’s Canossian,2011,31,30,78,0,86,86,125,0,0.397435897,0.688
St. Gabriel’s,2011,26,26,50,0,99,74,74,1,0.52,1.337837838
St. Hilda’s,2011,49,38,38,1,115,38,38,1,1.289473684,3.026315789
St. Joseph’s Institution Junior,2011,77,48,50,1,80,51,51,1,1.54,1.568627451
St. Margaret’s,2011,26,26,73,0,137,120,120,1,0.356164384,1.141666667
St. Stephen’s,2011,60,59,65,0,76,71,71,1,0.923076923,1.070422535
Stamford,2011,0,0,82,0,54,54,165,0,0,0.327272727
Tampines,2011,2,2,60,0,123,118,118,1,0.033333333,1.042372881
Tampines North,2011,0,0,61,0,56,56,121,0,0,0.462809917
Tanjong Katong,2011,7,7,55,0,101,101,107,0,0.127272727,0.943925234
Tao Nan,2011,84,47,47,1,88,49,49,1,1.787234043,1.795918367
Teck Ghee,2011,2,2,76,0,137,137,150,0,0.026315789,0.913333333
Teck Whye,2011,1,1,94,0,23,23,188,0,0.010638298,0.122340426
Telok Kurau,2011,1,1,57,0,106,105,113,0,0.01754386,0.938053097
Temasek,2011,36,29,29,1,92,29,29,1,1.24137931,3.172413793
Townsville,2011,1,1,78,0,79,79,156,0,0.012820513,0.506410256
Unity,2011,9,9,56,0,125,104,104,1,0.160714286,1.201923077
Wellington,2011,1,1,91,0,77,77,181,0,0.010989011,0.425414365
West Grove,2011,35,33,73,0,220,113,113,1,0.479452055,1.946902655
West View,2011,1,1,86,0,47,47,170,0,0.011627907,0.276470588
White Sands,2011,15,14,44,0,86,74,74,1,0.340909091,1.162162162
Woodgrove,2011,29,29,69,0,107,107,109,0,0.420289855,0.981651376
Woodlands,2011,1,1,62,0,100,100,123,0,0.016129032,0.81300813
Woodlands Ring,2011,7,7,76,0,116,115,147,0,0.092105263,0.789115646
Xinghua,2011,0,0,86,0,49,47,171,0,0,0.286549708
Xingnan,2011,4,4,69,0,110,110,134,0,0.057971014,0.820895522
Xinmin,2011,8,8,35,0,118,63,63,1,0.228571429,1.873015873
Xishan,2011,0,0,53,0,44,44,107,0,0,0.411214953
Yangzheng,2011,10,10,39,0,91,70,70,1,0.256410256,1.3
Yew Tee,2011,22,22,70,0,124,117,117,1,0.314285714,1.05982906
Yio Chu Kang,2011,0,0,62,0,32,32,125,0,0,0.256
Yishun,2011,0,0,61,0,62,62,123,0,0,0.504065041
Yu Neng,2011,24,24,32,0,89,41,41,1,0.75,2.170731707
Yuhua,2011,0,0,92,0,62,62,183,0,0,0.338797814
Yumin,2011,0,0,50,0,51,51,100,0,0,0.51
Zhangde,2011,4,4,65,0,151,129,129,1,0.061538462,1.170542636
Zhenghua,2011,1,1,78,0,108,108,154,0,0.012820513,0.701298701
Zhonghua,2011,0,0,81,0,40,40,162,0,0,0.24691358
Admiralty,2012,48,48,55,0,81,62,62,1,0.872727273,1.306451613
Ahmad Ibrahim,2012,1,1,63,0,90,90,124,0,0.015873016,0.725806452
Ai Tong,2012,49,20,20,1,58,20,20,1,2.45,2.9
Anchor Green,2012,9,9,46,0,93,82,82,1,0.195652174,1.134146341
Anderson,2012,26,26,30,0,67,34,34,1,0.866666667,1.970588235
Ang Mo Kio,2012,1,1,61,0,68,68,121,0,0.016393443,0.561983471
Anglo-Chinese (Junior),2012,76,54,54,1,64,54,54,1,1.407407407,1.185185185
Anglo-Chinese (Primary),2012,22,18,18,1,21,17,17,1,1.222222222,1.235294118
Angsana,2012,0,0,68,0,28,27,136,0,0,0.205882353
Beacon,2012,9,8,63,0,131,118,118,1,0.142857143,1.110169492
Bedok Green,2012,3,2,77,0,114,114,151,0,0.038961039,0.754966887
Bendemeer,2012,0,0,49,0,71,71,98,0,0,0.724489796
Blangah Rise,2012,0,0,106,0,31,31,211,0,0,0.146919431
Boon Lay Garden,2012,0,0,74,0,75,74,147,0,0,0.510204082
Bukit Panjang,2012,43,43,44,0,74,44,44,1,0.977272727,1.681818182
Bukit Timah,2012,1,1,68,0,61,61,134,0,0.014705882,0.455223881
Bukit View,2012,2,2,65,0,89,88,128,0,0.030769231,0.6953125
CHIJ (Katong),2012,39,39,72,0,106,104,104,1,0.541666667,1.019230769
CHIJ (Kellock),2012,36,36,68,0,121,99,99,1,0.529411765,1.222222222
CHIJ (Toa Payoh),2012,68,50,50,1,58,50,50,1,1.36,1.16
CHIJ Our Lady Queen of Peace,2012,46,46,62,0,61,61,78,0,0.741935484,0.782051282
CHIJ Our Lady of Good Counsel,2012,48,46,46,1,54,46,46,1,1.043478261,1.173913043
CHIJ Our Lady of the Nativity,2012,53,53,77,0,117,101,101,1,0.688311688,1.158415842
CHIJ St. Nicholas Girls’,2012,32,18,18,1,42,17,17,1,1.777777778,2.470588235
Canberra,2012,54,54,66,0,114,79,79,1,0.818181818,1.443037975
Canossa Catholic,2012,6,6,50,0,57,57,94,0,0.12,0.606382979
Cantonment,2012,3,3,97,0,160,160,190,0,0.030927835,0.842105263
Casuarina,2012,0,0,48,0,83,83,96,0,0,0.864583333
Catholic High,2012,28,20,20,1,55,20,20,1,1.4,2.75
Cedar,2012,1,1,38,0,71,70,74,0,0.026315789,0.959459459
Changkat,2012,1,1,55,0,108,108,108,0,0.018181818,1
Chongfu,2012,84,64,64,1,84,63,63,1,1.3125,1.333333333
Chongzheng,2012,16,16,40,0,86,63,63,1,0.4,1.365079365
Chua Chu Kang,2012,5,5,65,0,161,124,124,1,0.076923077,1.298387097
Clementi,2012,6,6,67,0,129,129,129,0,0.089552239,1
Compassvale,2012,40,40,75,0,150,110,110,1,0.533333333,1.363636364
Concord,2012,0,0,51,0,85,85,102,0,0,0.833333333
Corporation,2012,0,0,66,0,80,81,132,0,0,0.606060606
Damai,2012,0,0,62,0,27,26,123,0,0,0.219512195
Dazhong,2012,2,2,65,0,74,74,128,0,0.030769231,0.578125
De La Salle,2012,59,59,72,0,99,84,84,1,0.819444444,1.178571429
East Spring,2012,4,4,42,0,86,79,79,1,0.095238095,1.088607595
Edgefield,2012,7,7,75,0,144,143,143,1,0.093333333,1.006993007
Elias Park,2012,2,2,55,0,81,82,107,0,0.036363636,0.757009346
Endeavour,2012,22,22,43,0,129,64,64,1,0.511627907,2.015625
Eunos,2012,0,0,60,0,41,40,120,0,0,0.341666667
Evergreen,2012,17,17,47,0,79,76,76,1,0.361702128,1.039473684
Fairfield Methodist,2012,62,32,32,1,57,31,31,1,1.9375,1.838709677
Farrer Park,2012,1,1,79,0,23,23,157,0,0.012658228,0.146496815
Fengshan,2012,3,3,50,0,104,97,97,1,0.06,1.072164948
Fernvale,2012,2,2,78,0,106,105,153,0,0.025641026,0.692810458
First Toa Payoh,2012,1,1,81,0,47,47,161,0,0.012345679,0.291925466
Frontier,2012,5,5,110,0,258,214,214,1,0.045454545,1.205607477
Fuchun,2012,0,0,55,0,124,110,110,1,0,1.127272727
Fuhua,2012,0,0,71,0,92,92,141,0,0,0.65248227
Gan Eng Seng,2012,1,1,64,0,144,126,126,1,0.015625,1.142857143
Geylang Methodist,2012,7,7,73,0,146,138,138,1,0.095890411,1.057971014
Gongshang,2012,34,34,56,0,81,77,77,1,0.607142857,1.051948052
Greendale,2012,1,1,65,0,61,61,129,0,0.015384615,0.472868217
Greenridge,2012,18,18,61,0,125,103,103,1,0.295081967,1.213592233
Greenwood,2012,7,7,51,0,85,85,94,0,0.137254902,0.904255319
Guangyang,2012,0,0,77,0,56,56,153,0,0,0.366013072
Haig Girls’,2012,9,9,59,0,117,108,108,1,0.152542373,1.083333333
Henry Park,2012,19,12,12,1,43,12,12,1,1.583333333,3.583333333
Holy Innocents’,2012,50,43,43,1,59,43,43,1,1.162790698,1.372093023
Hong Wen,2012,58,46,46,1,88,45,45,1,1.260869565,1.955555556
Horizon,2012,8,7,112,0,234,216,216,1,0.071428571,1.083333333
Hougang,2012,35,35,63,0,110,90,90,1,0.555555556,1.222222222
Huamin,2012,0,0,63,0,48,48,126,0,0,0.380952381
Innova,2012,19,18,47,0,128,75,75,1,0.404255319,1.706666667
Jiemin,2012,7,7,44,0,96,80,80,1,0.159090909,1.2
Jing Shan,2012,0,0,53,0,67,67,106,0,0,0.632075472
Junyuan,2012,2,2,61,0,83,83,119,0,0.032786885,0.697478992
Jurong,2012,19,19,59,0,115,99,99,1,0.322033898,1.161616162
Jurong West,2012,30,30,59,0,128,88,88,1,0.508474576,1.454545455
Juying,2012,0,0,88,0,16,16,175,0,0,0.091428571
Keming,2012,33,33,57,0,101,80,80,1,0.578947368,1.2625
Kheng Cheng,2012,5,5,64,0,134,122,122,1,0.078125,1.098360656
Kong Hwa,2012,79,41,41,1,77,41,41,1,1.926829268,1.87804878
Kranji,2012,0,0,79,0,35,35,158,0,0,0.221518987
Kuo Chuan Presbyterian,2012,39,39,73,0,118,106,106,1,0.534246575,1.113207547
Lakeside,2012,0,0,64,0,147,128,128,1,0,1.1484375
Lianhua,2012,0,0,79,0,57,57,158,0,0,0.360759494
Maha Bodhi,2012,61,43,43,1,66,43,43,1,1.418604651,1.534883721
Maris Stella High,2012,78,78,82,0,98,86,86,1,0.951219512,1.139534884
Marsiling,2012,0,0,82,0,93,92,163,0,0,0.570552147
Marymount Convent,2012,30,30,89,0,128,128,148,0,0.337078652,0.864864865
Mayflower,2012,1,1,73,0,111,111,144,0,0.01369863,0.770833333
Mee Toh,2012,58,58,62,0,152,66,66,1,0.935483871,2.303030303
Meridian,2012,0,0,61,0,52,52,121,0,0,0.429752066
Methodist Girls’,2012,45,28,28,1,35,28,28,1,1.607142857,1.25
Montfort Junior,2012,10,10,83,0,58,58,155,0,0.120481928,0.374193548
Nan Chiau,2012,83,58,58,1,180,58,58,1,1.431034483,3.103448276
Nan Hua,2012,35,16,16,1,63,16,16,1,2.1875,3.9375
Nanyang,2012,33,25,25,1,33,25,25,1,1.32,1.32
Naval Base,2012,1,1,64,0,54,54,126,0,0.015625,0.428571429
New Town,2012,4,4,74,0,101,97,144,0,0.054054054,0.701388889
Ngee Ann,2012,19,19,67,0,114,114,114,0,0.28358209,1
North Spring,2012,0,0,68,0,51,50,136,0,0,0.375
North View,2012,0,0,63,0,92,92,126,0,0,0.73015873
North Vista,2012,9,9,46,0,114,82,82,1,0.195652174,1.390243902
Northland,2012,47,47,47,0,99,47,47,1,1,2.106382979
Opera Estate,2012,0,0,62,0,45,45,124,0,0,0.362903226
Palm View,2012,0,0,105,0,74,74,210,0,0,0.352380952
Park View,2012,0,0,58,0,46,46,115,0,0,0.4
Pasir Ris,2012,27,27,50,0,77,73,73,1,0.54,1.054794521
Paya Lebar Methodist Girls’,2012,61,61,82,0,119,103,103,1,0.743902439,1.155339806
Pei Chun Public,2012,51,39,39,1,73,38,38,1,1.307692308,1.921052632
Pei Hwa Presbyterian,2012,40,28,28,1,42,27,27,1,1.428571429,1.555555556
Pei Tong,2012,0,0,73,0,103,103,146,0,0,0.705479452
Peiying,2012,1,1,56,0,85,85,111,0,0.017857143,0.765765766
Pioneer,2012,0,0,72,0,74,74,144,0,0,0.513888889
Poi Ching,2012,29,29,63,0,106,97,97,1,0.46031746,1.092783505
Princess Elizabeth,2012,3,3,64,0,153,124,124,1,0.046875,1.233870968
Punggol,2012,1,0,64,0,82,82,128,0,0.015625,0.640625
Punggol Green,2012,1,1,105,0,37,37,209,0,0.00952381,0.177033493
Punggol View,2012,0,0,105,0,120,119,210,0,0,0.571428571
Qifa,2012,6,6,66,0,126,125,125,1,0.090909091,1.008
Qihua,2012,0,0,68,0,102,101,135,0,0,0.755555556
Queenstown,2012,0,0,80,0,88,87,159,0,0,0.553459119
Radin Mas,2012,63,51,51,1,84,50,50,1,1.235294118,1.68
Raffles Girls’,2012,42,42,42,0,46,42,42,1,1,1.095238095
Red Swastika,2012,18,14,14,1,40,14,14,1,1.285714286,2.857142857
River Valley,2012,55,47,47,1,54,46,46,1,1.170212766,1.173913043
Riverside,2012,1,1,120,0,219,218,239,0,0.008333333,0.916317992
Rivervale,2012,34,34,52,0,147,70,70,1,0.653846154,2.1
Rosyth,2012,47,43,43,1,113,43,43,1,1.093023256,2.627906977
Rulang,2012,17,10,10,1,60,9,9,1,1.7,6.666666667
Sembawang,2012,1,1,81,0,76,75,162,0,0.012345679,0.469135802
Seng Kang,2012,0,0,65,0,69,69,130,0,0,0.530769231
Sengkang Green,2012,0,0,105,0,109,108,210,0,0,0.519047619
Shuqun,2012,24,24,58,0,120,91,91,1,0.413793103,1.318681319
Si Ling,2012,2,2,76,0,49,48,150,0,0.026315789,0.326666667
Singapore Chinese Girls’,2012,34,30,30,1,51,29,29,1,1.133333333,1.75862069
South View,2012,19,19,29,0,103,39,39,1,0.655172414,2.641025641
Springdale,2012,3,3,105,0,52,52,207,0,0.028571429,0.251207729
St. Andrew’s Junior,2012,64,58,58,1,70,58,58,1,1.103448276,1.206896552
St. Anthony’s,2012,29,28,64,0,111,100,100,1,0.453125,1.11
St. Anthony’s Canossian,2012,40,40,66,0,95,91,91,1,0.606060606,1.043956044
St. Gabriel’s,2012,27,27,49,0,54,54,71,0,0.551020408,0.76056338
St. Hilda’s,2012,52,43,43,1,85,42,42,1,1.209302326,2.023809524
St. Joseph’s Institution Junior,2012,81,60,60,1,89,59,59,1,1.35,1.508474576
St. Margaret’s,2012,35,35,68,0,127,100,100,1,0.514705882,1.27
St. Stephen’s,2012,52,52,61,0,85,70,70,1,0.852459016,1.214285714
Stamford,2012,0,0,63,0,54,54,126,0,0,0.428571429
Tampines,2012,7,7,68,0,127,127,129,0,0.102941176,0.984496124
Tampines North,2012,1,1,64,0,76,76,127,0,0.015625,0.598425197
Tanjong Katong,2012,3,3,60,0,138,118,118,1,0.05,1.169491525
Tao Nan,2012,80,53,53,1,79,53,53,1,1.509433962,1.490566038
Teck Ghee,2012,2,2,74,0,149,146,146,1,0.027027027,1.020547945
Teck Whye,2012,1,1,90,0,38,37,179,0,0.011111111,0.212290503
Telok Kurau,2012,1,1,52,0,112,102,102,1,0.019230769,1.098039216
Temasek,2012,36,31,31,1,52,30,30,1,1.161290323,1.733333333
Townsville,2012,0,0,63,0,60,60,126,0,0,0.476190476
Unity,2012,11,11,63,0,100,100,115,0,0.174603175,0.869565217
Wellington,2012,1,1,97,0,85,85,192,0,0.010309278,0.442708333
West Grove,2012,29,29,61,0,116,93,93,1,0.475409836,1.247311828
West View,2012,0,0,81,0,59,59,162,0,0,0.364197531
Westwood,2012,0,0,120,0,267,240,240,1,0,1.1125
White Sands,2012,22,22,41,0,66,60,60,1,0.536585366,1.1
Woodgrove,2012,28,28,60,0,99,91,91,1,0.466666667,1.087912088
Woodlands,2012,3,3,61,0,128,119,119,1,0.049180328,1.075630252
Woodlands Ring,2012,3,3,66,0,112,112,129,0,0.045454545,0.868217054
Xinghua,2012,2,2,71,0,68,68,139,0,0.028169014,0.489208633
Xingnan,2012,1,1,55,0,102,102,109,0,0.018181818,0.935779817
Xinmin,2012,14,14,44,0,79,74,74,1,0.318181818,1.067567568
Xishan,2012,0,0,51,0,56,54,101,0,0,0.554455446
Yangzheng,2012,16,16,44,0,85,71,71,1,0.363636364,1.197183099
Yew Tee,2012,27,27,58,0,112,88,88,1,0.465517241,1.272727273
Yio Chu Kang,2012,1,1,65,0,58,58,128,0,0.015384615,0.453125
Yishun,2012,2,2,59,0,90,90,115,0,0.033898305,0.782608696
Yu Neng,2012,22,22,37,0,78,52,52,1,0.594594595,1.5
Yuhua,2012,0,0,71,0,47,47,141,0,0,0.333333333
Yumin,2012,0,0,48,0,50,50,96,0,0,0.520833333
Zhangde,2012,9,9,66,0,158,123,123,1,0.136363636,1.284552846
Zhenghua,2012,1,1,72,0,139,138,143,0,0.013888889,0.972027972
Zhonghua,2012,0,0,63,0,61,61,126,0,0,0.484126984
Admiralty,2013,40,40,63,0,96,86,86,1,0.634920635,1.11627907
Ahmad Ibrahim,2013,2,2,60,0,73,73,118,0,0.033333333,0.618644068
Ai Tong,2013,25,8,8,1,38,7,7,1,3.125,5.428571429
Alexandra,2013,0,0,105,0,232,210,210,1,0,1.104761905
Anchor Green,2013,3,3,41,0,90,78,78,1,0.073170732,1.153846154
Anderson,2013,24,24,33,0,50,41,41,1,0.727272727,1.219512195
Ang Mo Kio,2013,0,0,66,0,68,68,132,0,0,0.515151515
Anglo-Chinese (Junior),2013,73,48,47,1,49,45,45,1,1.553191489,1.088888889
Anglo-Chinese (Primary),2013,31,26,24,1,31,22,22,1,1.291666667,1.409090909
Angsana,2013,0,0,59,0,32,32,117,0,0,0.273504274
Beacon,2013,11,11,62,0,118,112,112,1,0.177419355,1.053571429
Bedok Green,2013,1,1,73,0,111,111,145,0,0.01369863,0.765517241
Bendemeer,2013,2,2,53,0,62,62,104,0,0.037735849,0.596153846
Blangah Rise,2013,0,0,70,0,21,21,140,0,0,0.15
Boon Lay Garden,2013,2,2,74,0,97,97,146,0,0.027027027,0.664383562
Bukit Panjang,2013,17,17,54,0,97,90,90,1,0.314814815,1.077777778
Bukit Timah,2013,1,1,61,0,63,63,121,0,0.016393443,0.520661157
Bukit View,2013,1,1,62,0,95,94,123,0,0.016129032,0.772357724
CHIJ (Katong),2013,41,41,66,0,95,91,91,1,0.621212121,1.043956044
CHIJ (Kellock),2013,30,30,60,0,86,86,90,0,0.5,0.955555556
CHIJ (Toa Payoh),2013,60,45,45,1,54,44,44,1,1.333333333,1.227272727
CHIJ Our Lady Queen of Peace,2013,53,53,58,0,67,62,62,1,0.913793103,1.080645161
CHIJ Our Lady of Good Counsel,2013,39,39,45,0,56,50,50,1,0.866666667,1.12
CHIJ Our Lady of the Nativity,2013,59,59,71,0,93,82,82,1,0.830985915,1.134146341
CHIJ St. Nicholas Girls’,2013,33,13,13,1,37,12,12,1,2.538461538,3.083333333
Canberra,2013,72,63,63,1,95,62,62,1,1.142857143,1.532258065
Canossa Catholic,2013,5,5,47,0,54,54,89,0,0.106382979,0.606741573
Cantonment,2013,0,0,91,0,97,97,181,0,0,0.535911602
Casuarina,2013,2,2,60,0,78,78,117,0,0.033333333,0.666666667
Catholic High,2013,43,26,26,1,49,26,26,1,1.653846154,1.884615385
Cedar,2013,1,1,32,0,63,62,62,1,0.03125,1.016129032
Changkat,2013,1,1,52,0,114,103,103,1,0.019230769,1.106796117
Chongfu,2013,72,53,53,1,100,53,53,1,1.358490566,1.886792453
Chongzheng,2013,20,20,38,0,71,55,55,1,0.526315789,1.290909091
Chua Chu Kang,2013,7,7,67,0,128,127,127,1,0.104477612,1.007874016
Clementi,2013,7,7,88,0,133,133,168,0,0.079545455,0.791666667
Compassvale,2013,33,33,67,0,142,100,100,1,0.492537313,1.42
Concord,2013,4,4,55,0,98,98,105,0,0.072727273,0.933333333
Corporation,2013,1,1,58,0,62,62,115,0,0.017241379,0.539130435
Damai,2013,0,0,62,0,15,15,125,0,0,0.12
Dazhong,2013,0,0,62,0,81,81,124,0,0,0.653225806
De La Salle,2013,40,40,70,0,122,99,99,1,0.571428571,1.232323232
East Spring,2013,3,3,51,0,94,95,99,0,0.058823529,0.949494949
Edgefield,2013,16,16,74,0,119,119,132,0,0.216216216,0.901515152
Elias Park,2013,1,1,52,0,95,95,102,0,0.019230769,0.931372549
Endeavour,2013,30,30,45,0,81,60,60,1,0.666666667,1.35
Eunos,2013,1,1,59,0,30,30,117,0,0.016949153,0.256410256
Evergreen,2013,10,10,62,0,127,114,114,1,0.161290323,1.114035088
Fairfield Methodist,2013,50,19,19,1,66,19,19,1,2.631578947,3.473684211
Farrer Park,2013,0,0,78,0,55,55,156,0,0,0.352564103
Fengshan,2013,4,4,43,0,97,81,81,1,0.093023256,1.197530864
Fernvale,2013,1,1,72,0,52,52,142,0,0.013888889,0.366197183
First Toa Payoh,2013,0,0,82,0,45,45,164,0,0,0.274390244
Frontier,2013,41,41,91,0,178,140,140,1,0.450549451,1.271428571
Fuchun,2013,5,5,55,0,122,104,104,1,0.090909091,1.173076923
Fuhua,2013,1,1,69,0,82,82,136,0,0.014492754,0.602941176
Gan Eng Seng,2013,2,2,65,0,95,95,127,0,0.030769231,0.748031496
Geylang Methodist,2013,18,18,72,0,137,125,125,1,0.25,1.096
Gongshang,2013,24,24,56,0,91,87,87,1,0.428571429,1.045977011
Greendale,2013,1,1,59,0,65,65,117,0,0.016949153,0.555555556
Greenridge,2013,14,14,56,0,108,98,98,1,0.25,1.102040816
Greenwood,2013,7,7,68,0,92,91,128,0,0.102941176,0.71875
Guangyang,2013,0,0,93,0,47,47,185,0,0,0.254054054
Haig Girls’,2013,9,9,49,0,118,89,89,1,0.183673469,1.325842697
Henry Park,2013,9,5,5,1,25,5,5,1,1.8,5
Holy Innocents’,2013,47,40,40,1,64,39,39,1,1.175,1.641025641
Hong Wen,2013,72,51,51,1,83,51,51,1,1.411764706,1.62745098
